filename,type,distorted_mae,rectified_mae,mae_improvement_percent,distorted_rmse,rectified_rmse,rmse_improvement_percent
FAMILY-45__MOTHER__FM045_M2__elastic.png,elastic,5.1531806,5.374163,-4.288275,8.081639,8.222964,-1.7487171
FAMILY-45__MOTHER__FM045_M2__local.png,local,4.6904297,5.481585,-16.867437,7.462279,8.602658,-15.281919
FAMILY-45__MOTHER__FM045_M3__bending.png,bending,4.4813256,4.316825,3.6708045,7.546926,6.9717007,7.621982
FAMILY-45__MOTHER__FM045_M3__elastic.png,elastic,4.4831195,5.128687,-14.3999605,7.469348,8.428029,-12.834871
FAMILY-45__MOTHER__FM045_M3__local.png,local,3.6971061,3.9282725,-6.25263,6.065205,6.5859046,-8.585027
FAMILY-45__MOTHER__FM045_M4__bending.png,bending,4.263632,3.9953961,6.291249,7.079403,6.5564947,7.386332
FAMILY-45__MOTHER__FM045_M4__elastic.png,elastic,4.060228,4.788863,-17.945675,6.54213,7.7133994,-17.903488
FAMILY-45__MOTHER__FM045_M4__local.png,local,3.3500679,4.273836,-27.574614,5.447894,6.9649324,-27.846325
FAMILY-45__MOTHER__FM045_M5__bending.png,bending,3.7595863,4.020129,-6.9300942,6.42941,6.672989,-3.788511
FAMILY-45__MOTHER__FM045_M5__elastic.png,elastic,3.8923988,3.9694874,-1.9804906,6.5838075,6.6125684,-0.43684313
FAMILY-45__MOTHER__FM045_M5__local.png,local,3.6075416,4.2881856,-18.867254,6.104486,7.097285,-16.26343
FAMILY-50__CHILD__FM050_C1__bending.png,bending,11.11065,6.524075,41.28089,23.78786,12.706781,46.582916
FAMILY-50__CHILD__FM050_C1__elastic.png,elastic,10.830377,11.071668,-2.22791,23.44001,24.554073,-4.7528276
FAMILY-50__CHILD__FM050_C1__local.png,local,7.7103,10.978177,-42.38327,16.43976,22.846806,-38.972862
FAMILY-50__CHILD__FM050_C2__bending.png,bending,8.318519,6.9616947,16.310884,14.262936,12.859561,9.839312
FAMILY-50__CHILD__FM050_C2__elastic.png,elastic,9.769312,9.921357,-1.5563558,17.737223,17.955708,-1.2317874
FAMILY-50__CHILD__FM050_C2__local.png,local,5.978436,6.977081,-16.704115,10.434797,11.929422,-14.32347
FAMILY-50__CHILD__FM050_C3__bending.png,bending,9.11639,6.5354753,28.310713,20.307596,11.893581,41.432846
FAMILY-50__CHILD__FM050_C3__elastic.png,elastic,11.003826,10.4784355,4.7746177,25.107222,22.529589,10.2664995
FAMILY-50__CHILD__FM050_C3__local.png,local,5.3128786,9.419284,-77.29153,11.10796,19.723318,-77.56022
FAMILY-50__CHILD__FM050_C4__bending.png,bending,7.92321,7.826969,1.2146717,18.889914,16.95863,10.22389
FAMILY-50__CHILD__FM050_C4__elastic.png,elastic,12.012097,10.375179,13.627246,28.859232,24.648355,14.59109
FAMILY-50__CHILD__FM050_C4__local.png,local,6.444874,6.5621414,-1.8195486,15.595545,14.900055,4.4595423
FAMILY-50__CHILD__FM050_C5__bending.png,bending,7.416255,5.350048,27.860516,12.917547,8.424217,34.7847
FAMILY-50__CHILD__FM050_C5__elastic.png,elastic,7.0033484,7.1268535,-1.7635152,12.161594,12.100101,0.50563204
FAMILY-50__CHILD__FM050_C5__local.png,local,6.42327,6.2504187,2.6910212,11.078999,10.19426,7.9857297
FAMILY-50__FATHER__FM050_F1__bending.png,bending,9.905074,10.898637,-10.030846,18.878117,20.299809,-7.5308995
FAMILY-50__FATHER__FM050_F1__elastic.png,elastic,12.838588,12.183554,5.1020727,23.887083,22.44873,6.0214663
FAMILY-50__FATHER__FM050_F1__local.png,local,5.994958,13.791853,-130.05756,11.30539,25.025326,-121.35747
FAMILY-50__FATHER__FM050_F2__bending.png,bending,9.622908,9.167949,4.727874,16.484728,14.755247,10.491412
FAMILY-50__FATHER__FM050_F2__elastic.png,elastic,9.83801,9.210639,6.3770094,16.298752,14.901754,8.571193
FAMILY-50__FATHER__FM050_F2__local.png,local,7.998525,9.649195,-20.637175,13.462973,15.431361,-14.620757
FAMILY-50__FATHER__FM050_F3__bending.png,bending,7.1592793,10.017717,-39.92634,13.694056,20.385324,-48.86258
FAMILY-50__FATHER__FM050_F3__elastic.png,elastic,12.711874,10.750578,15.428851,26.71729,23.522402,11.958133
FAMILY-50__FATHER__FM050_F3__local.png,local,8.442044,11.926538,-41.275482,17.407475,24.924923,-43.185173
FAMILY-50__FATHER__FM050_F4__bending.png,bending,11.056023,9.395189,15.021978,17.776953,15.0699625,15.227527
FAMILY-50__FATHER__FM050_F4__elastic.png,elastic,12.71317,12.239756,3.723811,21.074326,20.038286,4.916121
FAMILY-50__FATHER__FM050_F4__local.png,local,11.072684,11.029815,0.3871651,18.112843,17.300196,4.4865785
FAMILY-50__FATHER__FM050_F5__bending.png,bending,10.495576,5.8504863,44.257595,25.219131,13.156902,47.829674
FAMILY-50__FATHER__FM050_F5__elastic.png,elastic,11.320033,10.849031,4.16078,26.77807,25.08543,6.3209944
FAMILY-50__FATHER__FM050_F5__local.png,local,7.006537,7.1501913,-2.0502903,16.431284,17.203905,-4.702135
FAMILY-50__MOTHER__FM050_M1__bending.png,bending,8.517339,8.294105,2.620938,19.83542,18.15764,8.458506
FAMILY-50__MOTHER__FM050_M1__elastic.png,elastic,11.387317,11.195333,1.6859474,25.306328,23.935133,5.4183874
FAMILY-50__MOTHER__FM050_M1__local.png,local,6.2501197,9.202966,-47.244633,14.06119,19.530794,-38.89859
FAMILY-50__MOTHER__FM050_M2__bending.png,bending,9.10236,7.3671675,19.063103,19.955254,14.852323,25.571867
FAMILY-50__MOTHER__FM050_M2__elastic.png,elastic,9.896982,10.168287,-2.741291,21.867355,21.926151,-0.26887533
FAMILY-50__MOTHER__FM050_M2__local.png,local,8.056501,8.813974,-9.402009,18.006178,18.660574,-3.6342864
FAMILY-50__MOTHER__FM050_M3__bending.png,bending,6.919344,6.5841837,4.8438153,15.23285,12.973039,14.835119
FAMILY-50__MOTHER__FM050_M3__elastic.png,elastic,9.009786,7.780054,13.648844,20.216827,16.892021,16.445736
FAMILY-50__MOTHER__FM050_M3__local.png,local,6.092714,7.6335497,-25.289812,13.517002,16.254873,-20.255016
FAMILY-50__MOTHER__FM050_M4__bending.png,bending,8.089445,5.8413982,27.789875,19.471079,11.794434,39.425884
FAMILY-50__MOTHER__FM050_M4__elastic.png,elastic,8.753568,10.660515,-21.7848,20.963833,25.372017,-21.027569
FAMILY-50__MOTHER__FM050_M4__local.png,local,6.527364,8.89756,-36.311695,15.20875,20.974726,-37.912228
FAMILY-50__MOTHER__FM050_M5__bending.png,bending,7.480648,4.7546434,36.440754,18.360083,9.7182455,47.068615
FAMILY-50__MOTHER__FM050_M5__elastic.png,elastic,9.304986,8.389509,9.838562,22.649101,19.620941,13.369891
FAMILY-50__MOTHER__FM050_M5__local.png,local,5.310846,7.5538106,-42.233665,12.818002,17.720625,-38.24795
FAMILY-55__CHILD__FM055_C1__bending.png,bending,5.5674624,5.3696985,3.5521374,8.450287,7.907877,6.4188337
FAMILY-55__CHILD__FM055_C1__elastic.png,elastic,5.10521,5.3501673,-4.798186,7.68448,7.9714794,-3.7347906
